id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_forum_forum,forum.forum,model_forum_forum,,1,0,0,0
access_forum_forum_manager,forum.forum.maanger,model_forum_forum,base.group_erp_manager,1,1,1,1
access_forum_post_public,forum.post.public,model_forum_post,base.group_public,1,0,0,0
access_forum_post_portal,forum.post.portal,model_forum_post,base.group_portal,1,1,1,1
access_forum_post_user,forum.post.user,model_forum_post,base.group_user,1,1,1,1
access_forum_post_vote_public,forum.post.vote.public,model_forum_post_vote,base.group_public,1,0,0,0
access_forum_post_vote_portal,orum.post.vote.portal,model_forum_post_vote,base.group_portal,1,1,1,0
access_forum_post_vote_user,forum.post.vote.user,model_forum_post_vote,base.group_user,1,1,1,1
access_forum_post_reason_public,forum.post.reason.public,model_forum_post_reason,base.group_public,1,0,0,0
access_forum_post_reason_portal,forum.post.reason.portal,model_forum_post_reason,base.group_portal,1,0,0,0
access_forum_post_reason_user,forum.post.reason.user,model_forum_post_reason,base.group_user,1,1,1,1
access_forum_tag_public,forum.tag.public,model_forum_tag,base.group_public,1,0,1,0
access_forum_tag_portal,forum.tag.portal,model_forum_tag,base.group_portal,1,0,1,0
access_forum_tag_user,forum.tag.user,model_forum_tag,base.group_user,1,1,1,1
access_forum_post_close_public,forum.post.close.public,model_forum_post_close,base.group_public,1,0,0,0
access_forum_post_close_portal,forum.post.close.portal,model_forum_post_close,base.group_portal,1,1,1,1
access_forum_post_close_user,forum.post.close.user,model_forum_post_close,base.group_user,1,1,1,1
access_forum_post_offensive_public,forum.post.offensive.public,model_forum_post_offensive,base.group_public,1,0,0,0
access_forum_post_offensive_portal,forum.post.offensive.portal,model_forum_post_offensive,base.group_portal,1,1,1,1
access_forum_post_offensive_user,forum.post.offensive.user,model_forum_post_offensive,base.group_user,1,1,1,1
